Rank,Position,Name,Team,Fantasy Points,Fantasy Points per Game
1,RB,Christian McCaffrey,SF,296.6,18.8
2,RB,Bijan Robinson,ATL,289.2,17.0
3,RB,Austin Ekeler,LAC,288.2,20.3
4,RB,Josh Jacobs,LV,284.9,20.4
5,RB,Jonathan Taylor,IND,265.7,18.2
6,RB,J.K. Dobbins,BAL,264.5,16.2
7,RB,Tony Pollard,DAL,260.1,16.7
8,RB,Saquon Barkley,NYG,259.7,17.8
9,RB,Kenneth Walker III,SEA,245.1,14.4
10,RB,Derrick Henry,TEN,233.5,14.4
11,RB,Jahmyr Gibbs,DET,231.0,13.6
12,RB,Breece Hall,NYJ,226.3,15.7
13,RB,Nick Chubb,CLE,223.8,14.8
14,RB,James Cook,BUF,223.3,13.8
15,RB,Alexander Mattison,MIN,219.5,13.5
16,RB,D'Andre Swift,PHI,216.6,14.8
17,RB,Rhamondre Stevenson,NE,214.5,14.7
18,RB,Travis Etienne Jr.,JAC,211.8,12.5
19,RB,Joe Mixon,CIN,204.1,13.8
20,RB,Alvin Kamara,NO,197.4,12.9
21,RB,Khalil Herbert,CHI,191.9,13.1
22,RB,Isiah Pacheco,KC,188.5,13.9
23,RB,Damien Harris,BUF,178.3,13.1
24,RB,Aaron Jones,GB,167.5,11.4
25,RB,Najee Harris,PIT,162.4,10.4
26,RB,James Conner,ARI,162.4,12.6
27,RB,Antonio Gibson,WAS,161.7,11.1
28,RB,Cam Akers,LAR,152.4,9.8
29,RB,Javonte Williams,DEN,152.5,10.9
30,RB,Brian Robinson Jr.,WAS,152.6,9.0
31,RB,Miles Sanders,CAR,150.7,11.1
32,RB,Dameon Pierce,HOU,151.2,10.3
33,RB,Jaylen Warren,PIT,146.4,9.7
34,RB,D'Onta Foreman,CHI,143.2,9.4
35,RB,Zach Charbonnet,SEA,138.5,8.1
36,RB,Ronald Jones II,DAL,137.6,8.1
37,RB,Devon Achane,MIA,135.2,8.0
38,RB,Rashaad Penny,PHI,126.2,9.9
39,RB,AJ Dillon,GB,124.4,7.3
40,RB,Rachaad White,TB,119.4,8.2
41,RB,Dalvin Cook,NYJ,115.5,7.8
42,RB,Jerick McKinnon,KC,116.5,7.1
43,RB,Chuba Hubbard,CAR,114.4,7.3
44,RB,Devin Singletary,HOU,108.9,7.3
45,RB,Samaje Perine,DEN,109.2,6.9
46,RB,JaMycal Hasty,JAC,105.9,6.2
47,RB,Chase Edmonds,TB,103.9,8.0
48,RB,Raheem Mostert,MIA,102.6,7.5
49,RB,Gus Edwards,BAL,97.1,7.1
50,RB,Tyler Allgeier,ATL,91.2,5.9
51,RB,Elijah Mitchell,SF,85.0,6.8
52,RB,Joshua Kelley,LAC,79.2,5.4
53,RB,David Montgomery,DET,73.9,4.9
54,RB,Marlon Mack,ARI,72.5,4.7
55,RB,Kendre Miller,NO,72.2,4.2
56,RB,Zack Moss,IND,67.8,4.2
57,RB,Tyjae Spears,TEN,68.5,4.0
58,RB,Corey Clement,ARI,66.3,3.9
59,RB,C.J. Ham,MIN,65.5,3.9
60,RB,Ezekiel Elliott,NE,61.7,4.5
61,RB,Royce Freeman,LAR,55.8,3.3
62,RB,James Robinson,NYG,42.3,2.6
63,RB,Ameer Abdullah,LV,38.0,2.3
64,RB,Clyde Edwards-Helaire,KC,33.2,2.4
65,RB,Trayveon Williams,CIN,31.6,1.9
66,RB,Keaontay Ingram,ARI,29.3,1.7
67,RB,Kenneth Gainwell,PHI,25.5,1.6
68,RB,DeeJay Dallas,SEA,22.1,1.3
69,RB,Michael Carter,NYJ,22.5,1.4
70,RB,Darrynton Evans,BUF,23.3,1.4
71,RB,Cordarrelle Patterson,ATL,20.3,1.5
72,RB,Travis Homer,CHI,19.7,1.2
73,RB,Kyren Williams,LAR,17.1,1.1
74,RB,Mike Boone,HOU,17.5,1.0
75,RB,Ke'Shawn Vaughn,TB,16.8,1.0
76,RB,Matt Breida,NYG,16.5,1.0
77,RB,Demetric Felton Jr.,CLE,10.2,0.6
78,RB,Kene Nwangwu,MIN,7.8,0.5
79,RB,Patrick Taylor Jr.,GB,7.8,0.5